Date,8256 HK Equity,,8106 HK Equity,,1155 HK Equity,,524 HK Equity,,1202 HK Equity,,1085 HK Equity,,471 HK Equity,,138 HK Equity,,8005 HK Equity,,8227 HK Equity,,8167 HK Equity,,2342 HK Equity,,877 HK Equity,,989 HK Equity,,1883 HK Equity,,215 HK Equity,,552 HK Equity,,8 HK Equity,,763 HK Equity,,762 HK Equity,,728 HK Equity,,941 HK Equity
27/10/2014,0.275,,0.435,,0.85,,0.7,,1.52,,1.32,,3.75,,0.86,,1.01,,0.3,,0.142,,2.295,,2.02,,0.94,,2.87,,2.88,,3.541,,4.85,,15.017,,11.16,,4.65,,88.95
28/10/2014,0.275,,0.44,,0.89,,0.7,,1.54,,1.29,,4.1,,0.86,,1.03,,0.3,,0.144,,2.322,,2.03,,0.94,,2.92,,3.03,,3.571,,4.89,,15.05,,11.38,,4.91,,91.45
29/10/2014,0.26,,0.435,,0.9,,0.69,,1.53,,1.29,,3.95,,0.86,,1.01,,0.3,,0.144,,2.384,,2.05,,0.94,,2.93,,3,,3.59,,4.9,,15.3,,11.52,,4.89,,93.95
30/10/2014,0.26,,0.43,,0.89,,0.7,,1.56,,1.31,,4.05,,0.86,,1.01,,0.29,,0.151,,2.37,,2.12,,0.94,,2.94,,2.99,,3.6,,4.9,,15.283,,11.48,,4.85,,94.05
31/10/2014,0.25,,0.4,,0.9,,0.7,,1.6,,1.29,,4.2,,0.9,,1.04,,0.305,,0.14,,2.432,,2.12,,0.97,,3.09,,3.09,,3.63,,4.93,,15.667,,11.66,,4.94,,96.5
3/11/2014,0.26,,0.4,,0.89,,0.72,,1.6,,1.32,,4.25,,0.9,,1.06,,0.285,,0.144,,2.541,,2.18,,0.89,,3.1,,3.08,,3.63,,4.96,,15.433,,11.46,,4.86,,96.35
4/11/2014,0.255,,0.4,,0.94,,0.71,,1.61,,1.35,,4.25,,0.88,,1.02,,0.29,,0.149,,2.548,,2.18,,0.92,,3.05,,3.04,,3.69,,4.88,,15.167,,11.48,,4.95,,96.65
5/11/2014,0.227,,0.4,,0.93,,0.71,,1.61,,1.34,,4.05,,0.88,,1.04,,0.285,,0.14,,2.534,,2.14,,0.92,,3.08,,2.98,,3.7,,4.89,,15.517,,11.32,,4.87,,95.65
6/11/2014,0.22,,0.4,,0.93,,0.71,,1.61,,1.33,,4.1,,0.88,,1.03,,0.285,,0.144,,2.554,,2.1,,0.91,,3.07,,3.14,,3.69,,4.86,,15.467,,11.46,,4.85,,97
7/11/2014,0.227,,0.4,,0.92,,0.78,,1.6,,1.29,,4,,0.88,,1.01,,0.285,,0.144,,2.527,,2.09,,0.91,,3.07,,3.15,,3.66,,4.91,,15.117,,11.38,,4.82,,96.5
10/11/2014,0.235,,0.4,,0.92,,0.77,,1.62,,1.26,,4,,0.9,,1.04,,0.28,,0.136,,2.5,,2.16,,0.91,,3.07,,3.1,,3.64,,4.95,,15.633,,11.48,,4.86,,96.5
11/11/2014,0.224,,0.4,,0.92,,0.75,,1.6,,1.29,,3.85,,0.92,,1.07,,0.28,,0.133,,2.568,,2.15,,0.86,,3.08,,3.11,,3.7,,5.05,,15.283,,11.16,,4.89,,94.7
12/11/2014,0.206,,0.39,,0.91,,0.74,,1.62,,1.29,,4.15,,0.94,,1.06,,0.3,,0.136,,2.548,,2.16,,0.91,,3.13,,3.09,,3.72,,5.02,,15.217,,11.28,,4.94,,95.8
13/11/2014,0.24,,0.39,,0.9,,0.75,,1.66,,1.28,,4.1,,1.13,,1.06,,0.28,,0.136,,2.513,,2.15,,0.85,,3.12,,3.08,,3.73,,5.07,,15.317,,11.3,,5.04,,95.2
14/11/2014,0.22,,0.4,,0.88,,0.72,,1.64,,1.33,,4,,1.21,,1.03,,0.29,,0.138,,2.527,,2.11,,0.88,,3.11,,3.11,,3.78,,5.18,,15.333,,11.3,,4.96,,96.65
17/11/2014,0.221,,0.39,,0.86,,0.68,,1.54,,1.42,,4.05,,1.19,,1.02,,0.285,,0.138,,2.37,,2.1,,0.84,,3.1,,3.04,,3.73,,5.16,,14.95,,11.26,,4.78,,94.45
18/11/2014,0.248,,0.39,,0.87,,0.68,,1.51,,1.39,,4.2,,1.23,,1.02,,0.275,,0.133,,2.425,,2.08,,0.88,,3.08,,3.1,,3.7,,5.11,,14.9,,11.1,,4.7,,95.65
19/11/2014,0.23,,0.39,,0.86,,0.69,,1.5,,1.47,,4.2,,1.1,,1.02,,0.255,,0.133,,2.432,,2.08,,0.85,,3.13,,3.06,,3.7,,5.07,,15.4,,11.22,,4.71,,93.85
20/11/2014,0.217,,0.455,,0.86,,0.71,,1.47,,1.56,,4,,1.16,,1,,0.28,,0.131,,2.418,,1.99,,0.86,,3.12,,3.14,,3.68,,5.2,,15.033,,11.3,,4.72,,93.75
21/11/2014,0.217,,0.53,,0.87,,0.72,,1.48,,1.52,,3.95,,1.12,,1.07,,0.26,,0.136,,2.466,,1.99,,0.83,,3.2,,3.24,,3.69,,5.16,,15.2,,11.38,,4.73,,94.85
24/11/2014,0.206,,0.61,,0.85,,0.72,,1.54,,1.47,,3.85,,1,,1.25,,0.28,,0.136,,2.445,,1.94,,0.85,,3.25,,3.18,,3.76,,5.14,,15.45,,11.62,,4.92,,96.9
25/11/2014,0.19,,0.59,,0.87,,0.73,,1.54,,1.42,,3.85,,0.97,,1.3,,0.325,,0.129,,2.288,,1.92,,0.86,,3.25,,3.16,,3.74,,5.12,,15.55,,11.82,,4.89,,96
26/11/2014,0.184,,0.58,,0.88,,0.73,,1.52,,1.52,,3.95,,0.98,,1.27,,0.31,,0.133,,2.274,,1.93,,0.86,,3.26,,3.17,,3.78,,5.24,,15.633,,11.78,,4.87,,95.9
27/11/2014,0.175,,0.54,,0.87,,0.73,,1.47,,1.51,,3.95,,0.96,,1.29,,0.31,,0.131,,2.233,,1.91,,0.85,,3.25,,3.16,,3.8,,5.21,,15.583,,11.68,,4.68,,94.95
28/11/2014,0.189,,0.56,,0.86,,0.72,,1.46,,1.44,,3.9,,0.98,,1.3,,0.295,,0.131,,2.076,,1.92,,0.86,,3.2,,3.16,,3.77,,5.2,,15.467,,11.8,,4.7,,95.55
1/12/2014,0.19,,0.54,,0.83,,0.74,,1.35,,1.42,,3.9,,0.93,,1.4,,0.29,,0.127,,1.926,,1.89,,0.85,,3.18,,3.12,,3.68,,5.08,,15.317,,11.32,,4.55,,92.8
2/12/2014,0.181,,0.54,,0.84,,0.73,,1.44,,1.42,,3.9,,0.94,,1.41,,0.285,,0.127,,2.022,,1.88,,0.82,,3.16,,3.14,,3.74,,5.09,,15.183,,11.46,,4.56,,93.4
3/12/2014,0.176,,0.52,,0.82,,0.72,,1.37,,1.43,,3.95,,0.92,,1.42,,0.28,,0.127,,2.015,,1.88,,0.82,,3.14,,3.1,,3.7,,5.15,,15.167,,11.2,,4.47,,91.3
4/12/2014,0.166,,0.47,,0.78,,0.71,,1.42,,1.46,,3.65,,0.94,,1.41,,0.27,,0.127,,2.001,,1.89,,0.81,,3.14,,3.04,,3.78,,5.13,,15.167,,11.52,,4.71,,94.3
5/12/2014,0.163,,0.455,,0.78,,0.72,,1.39,,1.39,,3.3,,0.96,,1.43,,0.28,,0.125,,1.94,,1.86,,0.78,,3.14,,3.02,,3.67,,5.1,,15.1,,11.16,,4.67,,95.05
8/12/2014,0.18,,0.435,,0.78,,0.72,,1.29,,1.38,,3,,0.87,,1.4,,0.27,,0.127,,1.906,,1.84,,0.8,,3.06,,3.02,,3.67,,5.15,,15.4,,11.02,,4.68,,93.85
9/12/2014,0.18,,0.4,,0.75,,0.69,,1.34,,1.36,,2.4,,0.82,,1.41,,0.27,,0.131,,1.878,,1.75,,0.72,,3.06,,3.07,,3.67,,5.16,,15.283,,10.64,,4.58,,91.75
10/12/2014,0.198,,0.4,,0.77,,0.65,,1.4,,1.34,,2.85,,0.88,,1.44,,0.27,,0.127,,1.926,,1.79,,0.78,,3.04,,3.07,,3.72,,5.24,,15.35,,10.66,,4.52,,91.75
11/12/2014,0.219,,0.4,,0.76,,0.62,,1.4,,1.34,,2.9,,0.86,,1.41,,0.26,,0.136,,1.83,,1.79,,0.77,,3.07,,3.09,,3.64,,5.36,,14.933,,10.64,,4.48,,91.2
12/12/2014,0.222,,0.385,,0.78,,0.62,,1.4,,1.36,,3.45,,0.87,,1.39,,0.26,,0.136,,1.912,,1.71,,0.77,,3.13,,3.11,,3.64,,5.44,,15.35,,10.62,,4.4,,90.65
15/12/2014,0.218,,0.385,,0.77,,0.61,,1.4,,1.38,,3.4,,0.92,,1.4,,0.265,,0.131,,1.878,,1.7,,0.69,,3.05,,3.2,,3.67,,5.51,,14.883,,10.2,,4.39,,88.95
16/12/2014,0.211,,0.385,,0.77,,0.59,,1.4,,1.34,,3.1,,0.88,,1.41,,0.265,,0.131,,1.885,,1.71,,0.65,,3.04,,3.16,,3.71,,5.33,,14.183,,10.1,,4.31,,87.75
17/12/2014,0.19,,0.43,,0.76,,0.58,,1.38,,1.37,,2.95,,0.84,,1.4,,0.26,,0.122,,1.796,,1.74,,0.67,,3,,3.11,,3.63,,5.37,,14.517,,10.26,,4.42,,87.9
18/12/2014,0.2,,0.44,,0.75,,0.54,,1.3,,1.37,,2.8,,0.85,,1.42,,0.26,,0.131,,1.769,,1.8,,0.72,,2.96,,3.15,,3.61,,5.56,,14.233,,10.34,,4.45,,89.35
19/12/2014,0.21,,0.4,,0.76,,0.53,,1.41,,1.37,,2.85,,0.84,,1.41,,0.275,,0.129,,1.714,,1.79,,0.71,,2.92,,3.16,,3.62,,5.43,,14.35,,10.5,,4.46,,90.25
22/12/2014,0.208,,0.4,,0.77,,0.53,,1.4,,1.35,,2.85,,0.83,,1.42,,0.27,,0.129,,1.755,,1.74,,0.71,,2.93,,3.19,,3.61,,5.38,,14.333,,10.46,,4.57,,91.95
23/12/2014,0.208,,0.4,,0.76,,0.53,,1.31,,1.38,,2.8,,0.83,,1.45,,0.242,,0.127,,1.858,,1.75,,0.69,,2.94,,3.25,,3.63,,5.28,,14.25,,10.56,,4.6,,91.7
24/12/2014,0.208,,0.43,,0.77,,0.53,,1.31,,1.4,,2.8,,0.86,,1.45,,0.25,,0.127,,1.851,,1.74,,0.71,,2.92,,3.29,,3.581,,5.31,,14.1,,10.44,,4.57,,91.45
25/12/2014,0.208,,0.43,,0.77,,0.53,,1.31,,1.4,,2.8,,0.86,,1.45,,0.25,,0.127,,1.851,,1.74,,0.71,,2.92,,3.29,,3.581,,5.31,,14.1,,10.44,,4.57,,91.45
26/12/2014,0.208,,0.43,,0.77,,0.53,,1.31,,1.4,,2.8,,0.86,,1.45,,0.25,,0.127,,1.851,,1.74,,0.71,,2.92,,3.29,,3.581,,5.31,,14.1,,10.44,,4.57,,91.45
29/12/2014,0.205,,0.4,,0.76,,0.53,,1.31,,1.35,,2.65,,0.86,,1.73,,0.25,,0.118,,1.789,,1.71,,0.75,,2.93,,3.25,,3.561,,5.26,,14.033,,10.66,,4.62,,92.6
30/12/2014,0.2,,0.4,,0.76,,0.54,,1.36,,1.4,,2.5,,0.84,,1.66,,0.25,,0.127,,1.803,,1.72,,0.78,,2.89,,3.25,,3.6,,5.31,,13.75,,10.46,,4.5,,90.6
31/12/2014,0.218,,0.4,,0.77,,0.54,,1.36,,1.46,,2.6,,0.86,,1.68,,0.25,,0.136,,1.878,,1.7,,0.78,,2.91,,3.28,,3.63,,5.3,,14.033,,10.4,,4.54,,90.5
1/1/2015,0.218,,0.4,,0.77,,0.54,,1.36,,1.46,,2.6,,0.86,,1.68,,0.25,,0.136,,1.878,,1.7,,0.78,,2.91,,3.28,,3.63,,5.3,,14.033,,10.4,,4.54,,90.5
2/1/2015,0.216,,0.4,,0.75,,0.58,,1.44,,1.45,,2.48,,0.87,,1.7,,0.25,,0.136,,1.83,,1.71,,0.76,,2.78,,3.28,,3.66,,5.28,,14.05,,10.62,,4.61,,91.4
5/1/2015,0.215,,0.425,,0.76,,0.58,,1.51,,1.46,,2.43,,0.86,,1.71,,0.26,,0.131,,1.865,,1.75,,0.89,,2.67,,3.25,,3.66,,5.27,,14.6,,10.5,,4.54,,90.1
6/1/2015,0.215,,0.41,,0.78,,0.58,,1.43,,1.44,,2.55,,0.86,,1.71,,0.25,,0.125,,1.974,,1.75,,0.84,,2.58,,3.27,,3.71,,5.21,,14.85,,10.56,,4.52,,88.75
7/1/2015,0.209,,0.41,,0.79,,0.6,,1.48,,1.46,,2.5,,0.86,,1.65,,0.25,,0.129,,1.953,,1.73,,0.79,,2.58,,3.26,,3.73,,5.15,,14.7,,10.64,,4.47,,91.75
8/1/2015,0.21,,0.42,,0.78,,0.6,,1.58,,1.52,,2.6,,0.87,,1.65,,0.249,,0.129,,1.981,,1.7,,0.88,,2.61,,3.28,,3.77,,5.1,,14.967,,10.64,,4.43,,93.6
9/1/2015,0.19,,0.46,,0.77,,0.58,,1.51,,1.52,,2.9,,0.87,,1.7,,0.249,,0.129,,1.96,,1.72,,0.87,,2.66,,3.28,,3.69,,5.1,,15.017,,11.2,,4.48,,95.05
12/1/2015,0.183,,0.46,,0.77,,0.58,,1.51,,1.46,,3,,0.85,,1.8,,0.246,,0.129,,1.892,,1.65,,0.9,,2.59,,3.26,,3.65,,5,,14.75,,11.1,,4.43,,94.85
13/1/2015,0.183,,0.46,,0.74,,0.59,,1.5,,1.5,,2.9,,0.86,,1.9,,0.24,,0.136,,1.919,,1.64,,0.9,,2.6,,3.28,,3.67,,5.17,,14.933,,11.48,,4.53,,97.4
14/1/2015,0.184,,0.46,,0.73,,0.64,,1.42,,1.5,,2.7,,0.86,,2.19,,0.24,,0.136,,1.919,,1.62,,0.86,,2.61,,3.32,,3.67,,5.3,,15.05,,11.62,,4.49,,96.5
15/1/2015,0.186,,0.47,,0.72,,0.66,,1.47,,1.51,,2.65,,0.86,,2.25,,0.24,,0.138,,1.844,,1.64,,0.86,,2.6,,3.25,,3.62,,5.39,,15.117,,11.64,,4.44,,97.95
16/1/2015,0.186,,0.47,,0.69,,0.6,,1.45,,1.51,,2.7,,0.85,,2.2,,0.238,,0.138,,1.817,,1.61,,0.78,,2.52,,3.25,,3.59,,5.32,,15.183,,11.54,,4.34,,97.85
19/1/2015,0.186,,0.47,,0.67,,0.63,,1.42,,1.49,,2.7,,0.83,,2.12,,0.235,,0.14,,1.468,,1.59,,0.74,,2.35,,3.2,,3.521,,5.25,,14.783,,11.64,,4.22,,97
20/1/2015,0.2,,0.47,,0.69,,0.66,,1.42,,1.47,,2.95,,0.83,,2.24,,0.24,,0.142,,1.489,,1.6,,0.74,,2.34,,3.24,,3.531,,5.26,,14.7,,11.78,,4.31,,98.15
21/1/2015,0.2,,0.47,,0.7,,0.67,,1.39,,1.49,,2.8,,0.83,,2.26,,0.24,,0.144,,1.407,,1.64,,0.74,,2.44,,3.25,,3.541,,5.25,,14.767,,12.02,,4.53,,102.1
22/1/2015,0.206,,0.47,,0.66,,0.68,,1.4,,1.49,,2.8,,0.85,,2.3,,0.24,,0.16,,1.325,,1.59,,0.8,,2.4,,3.26,,3.561,,5.21,,14.583,,12.1,,4.63,,103.3
23/1/2015,0.209,,0.47,,0.66,,0.72,,1.4,,1.49,,2.75,,0.85,,2.38,,0.24,,0.17,,1.4,,1.68,,0.78,,2.34,,3.27,,3.561,,5.33,,14.567,,12.04,,4.79,,104.5
26/1/2015,0.199,,0.47,,0.63,,0.7,,1.4,,1.52,,2.85,,0.84,,2.37,,0.24,,0.17,,1.332,,1.68,,0.78,,2.28,,3.43,,3.571,,5.26,,14.583,,11.98,,4.77,,103.9
27/1/2015,0.2,,0.47,,0.66,,0.78,,1.4,,1.51,,2.85,,0.84,,2.36,,0.24,,0.168,,1.264,,1.7,,0.78,,2.31,,3.43,,3.521,,5.25,,14.283,,12.02,,4.75,,102.7
28/1/2015,0.199,,0.44,,0.67,,0.9,,1.36,,1.48,,2.85,,0.85,,2.41,,0.24,,0.17,,1.325,,1.72,,0.85,,2.4,,3.54,,3.521,,5.15,,14.467,,12,,4.73,,103.4
29/1/2015,0.187,,0.44,,0.69,,0.81,,1.36,,1.5,,2.75,,0.84,,2.33,,0.24,,0.173,,1.298,,1.67,,0.84,,2.4,,3.53,,3.501,,5.15,,14.25,,11.74,,4.54,,104.3
